46.39.53.193 - - [09/Feb/2017:11:43:23 +0900] "CONNECT www.google.com:443 HTTP/1.0" 400 181 "-" "-"
138.201.48.4 - - [09/Feb/2017:11:43:25 +0900] "CONNECT 1xbet.com:443 HTTP/1.1" 400 181 "-" "-"
223.150.225.7 - - [09/Feb/2017:11:43:27 +0900] "GET http://m.search.yahoo.com/ HTTP/1.1" 200 612 "http://m.search.yahoo.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
116.115.206.41 - - [09/Feb/2017:11:43:29 +0900] "CONNECT search.yahoo.com:443 HTTP/1.1" 400 181 "-" "-"
52.166.249.182 - - [09/Feb/2017:11:43:34 +0900] "CONNECT tados-s.westeurope.cloudapp.azure.com:15002 HTTP/1.0" 400 181 "-" "-"
188.244.145.169 - - [09/Feb/2017:11:43:51 +0900] "POST /Exam/Test/Test HTTP/1.1" 302 141 "http://gw.lensk.gosnadzor.ru/Exam/Test/RenderView?attemptId=37089" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.2; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
188.244.145.169 - - [09/Feb/2017:11:43:51 +0900] "GET /Exam/Test/RenderView?attemptId=37089 HTTP/1.1" 200 2443 "http://gw.lensk.gosnadzor.ru/Exam/Test/RenderView?attemptId=37089" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.2; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
61.146.233.116 - - [09/Feb/2017:11:43:55 +0900] "GET http://m.search.yahoo.com/ HTTP/1.1" 200 612 "http://m.search.yahoo.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
41.200.137.14 - - [09/Feb/2017:11:43:55 +0900] "CONNECT store.steampowered.com:443 HTTP/1.1" 400 181 "-" "-"
162.244.10.249 - - [09/Feb/2017:11:43:57 +0900] "GET http://chekfast.zennolab.com/proxy.php HTTP/1.1" 404 151 "RefererString" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
125.66.152.161 - - [09/Feb/2017:11:44:01 +0900] "GET http://zc.qq.com/cgi-bin/iframe/othmailreg/init_11?r=0.414529966383488 HTTP/1.1" 404 151 "http://zc.qq.com/cgi-bin/iframe/othmailreg/init_11?r=0.414529966383488" "Mozilla/5.0 (Windows; U; Windows NT 5.1) Gecko/20070803 Firefox/1.5.0.12"
120.27.247.33 - - [09/Feb/2017:11:44:09 +0900] "CONNECT search.yahoo.com:443 HTTP/1.1" 400 181 "-" "-"
52.166.249.182 - - [09/Feb/2017:11:44:12 +0900] "\x05\x01\x00" 400 181 "-" "-"
